STADIUM STEAKHOUSE LTDA
RELATORIO DE VENDAS POR PRODUTO
UNIDADE: 01 - BARRA
PERIODO: 05/07/2026 A 04/08/2026
EMITIDO EM: 05/08/2026 08:32

PRODUTO;QTDE;VLR_UNIT;VLR_TOTAL;QTD_ALMOCO;QTD_JANTAR;QTD_NOITE
STADIUM WINGS 5UN;88;44,90;3951,20;19;45;24
STADIUM WINGS 10UN;61;76,90;4690,90;9;34;18
STADIUM WINGS 20UN;19;109,90;2088,10;1;10;8
PAO DE ALHO;214;10,50;2247,00;81;101;32
PASTEL 6UN;17;65,90;1120,30;5;9;3
FENOMENO;6;219,90;1319,40;0;3;3
PICANHA NACIONAL;143;119,90;17145,70;20;79;44
MARAVILHA;31;229,90;7126,90;1;13;17
CARPACCIO DE CARNE;44;69,90;3075,60;15;23;6
CERVEJA HEINEKEN LN;312;14,90;4648,80;56;153;103
CERVEJA CORONA LN;97;16,90;1639,30;12;47;38
CERVEJA SPATEN LN;188;12,90;2425,20;39;94;55
CERVEJA STELLA LN;141;14,90;2100,90;27;72;42
CERVEJA STELLA PURE GOLD;62;14,90;923,80;11;32;19
CERVEJA HEINEKEN ZERO;29;14,90;432,10;9;14;6
CERVEJA CORONA CERO;11;16,90;185,90;3;6;2
CHOPE CANECA BRAHMA;204;14,90;3039,60;33;102;69
CHOPE CANECA HEINEKEN;167;15,90;2655,30;23;82;62
CHOPE CALDERETA AMSTEL;93;9,90;920,70;20;47;26
REFRIGERANTE LATA;276;10,90;3008,40;113;121;42
SUCO NATURAL;118;13,90;1640,20;61;42;15
AGUA MINERAL;203;8,50;1725,50;89;85;29
FILE MIGNON;96;109,90;10550,40;19;53;24
FRALDINHA;74;99,90;7392,60;18;40;16
SIRLOIN;38;94,90;3606,20;8;21;9
BURGER STADIUM;81;59,90;4851,90;28;38;15
BURGER BRAZUCA;52;59,90;3114,80;17;25;10
BURGER LA FURIA;28;59,90;1677,20;8;14;6
BURGER HOLAND;14;59,90;838,60;5;6;3
PASTA FORMAGGIO;47;79,90;3755,30;20;21;6
PASTA PIOLA;33;79,90;2636,70;15;15;3
PASTA ROSSI;21;79,90;1677,90;8;10;3
BATATA FRITA HOMEMADE;186;32,90;6119,40;63;89;34
ARROZ STADIUM;121;28,90;3496,90;47;57;17
FAREIA;64;18,90;1209,60;23;31;10
PETIT GATEAU;58;38,90;2256,20;11;28;19
CHEESECAKE;27;27,90;753,30;6;13;8
COUVERT ARTISTICO;391;18,00;7038,00;47;215;129
TAXA SERVICO 10%;402;31,40;12622,80;113;193;96
RODIZIO EXECUTIVO ALMOCO;178;74,90;13332,20;178;0;0
DIVERSOS / AJUSTE;23;9,80;225,40;8;8;7

TOTAL DE ITENS;4458
FATURAMENTO BRUTO;155266,20
MESAS ATENDIDAS;402
TICKET MEDIO POR MESA;386,23

OBS: RELATORIO GERADO PELO SISTEMA DE PDV.
QTD_ALMOCO = 11H AS 15H / QTD_JANTAR = 18H AS 22H / QTD_NOITE = 22H AS 02H
